| error_severity | event_message                                                                                                                                                                                                           | id                                   | identifier           | timestamp        |
| -------------- | ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ------------------------------------ | -------------------- | ---------------- |
| LOG            | connection authorized: user=supabase_admin database=postgres application_name=postgres-meta 0.0.0-automated SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)                                     | ce003dd6-2afe-4957-bb2a-058d9d9dadfa | rrqefsxymripcvoabers | 1744762798476000 |
| LOG            | connection authenticated: identity="supabase_admin" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)                                                                                                               | 14f78279-7041-4f6f-94d0-c280eb7e4fe9 | rrqefsxymripcvoabers | 1744762798476000 |
| LOG            | connection authenticated: identity="supabase_admin" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)                                                                                                               | 63584f31-fbd9-4195-8337-074e968b1360 | rrqefsxymripcvoabers | 1744762798466000 |
| LOG            | connection authorized: user=supabase_admin database=postgres application_name=postgres-meta 0.0.0-automated SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)                                     | 90d9275c-02f1-447a-a4bd-673130d9c4c8 | rrqefsxymripcvoabers | 1744762798466000 |
| LOG            | connection received: host=2600:1f18:2a66:6e00:917d:e2f2:ff68:d461 port=59378                                                                                                                                            | f565e5bf-c59e-4d27-8dfc-eb6ad1f9b2bc | rrqefsxymripcvoabers | 1744762797898000 |
| LOG            | connection received: host=2600:1f18:2a66:6e00:4d9e:4682:5ddd:70b8 port=38368                                                                                                                                            | 475ab338-1400-40b1-9d78-00cba32698c5 | rrqefsxymripcvoabers | 1744762797897000 |
| ERROR          | new row violates row-level security policy for table "users"                                                                                                                                                            | 20e67864-f500-4e44-867d-383cec7bee15 | rrqefsxymripcvoabers | 1744762784822000 |
| LOG            | connection authorized: user=authenticator database=postgres application_name=postgrest SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)                                                          | bf39df98-0240-4be4-9708-ca1b61d754b5 | rrqefsxymripcvoabers | 1744762784815000 |
| LOG            | connection authorized: user=supabase_auth_admin database=postgres                                                                                                                                                       | b94d5764-b865-4581-b070-23b76204f722 | rrqefsxymripcvoabers | 1744762783770000 |
| LOG            | connection authorized: user=authenticator database=postgres application_name=postgrest SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)                                                          | ec2de5f3-7c09-4906-a12a-c96b4f7a7bf0 | rrqefsxymripcvoabers | 1744762783326000 |
| LOG            | connection authorized: user=supabase_admin database=postgres application_name=postgres_exporter                                                                                                                         | 53747041-20c1-4a03-8945-945192ca3869 | rrqefsxymripcvoabers | 1744762779900000 |
| LOG            | connection received: host=::1 port=31377                                                                                                                                                                                | 9055f289-7f17-4223-a896-7ef8f0dfcb82 | rrqefsxymripcvoabers | 1744762779899000 |
| LOG            | connection authorized: user=supabase_admin database=postgres application_name=postgres_exporter                                                                                                                         | 4aa979c8-dcf3-4bbe-bb66-66ea02ab39d5 | rrqefsxymripcvoabers | 1744762719900000 |
