| event_message                                                                                                                                                   | id                                   | identifier           | method | path                                                      | status_code | timestamp        |
| --------------------------------------------------------------------------------------------------------------------------------------------------------------- | ------------------------------------ | -------------------- | ------ | --------------------------------------------------------- | ----------- | ---------------- |
| DELETE | 404 | 34.29.52.147 | 930e7dc9ac9cf851 | https://rrqefsxymripcvoabers.supabase.co/auth/v1/admin/users/8473b86b-3319-47ba-8927-a70e939f1670 | node       | 9753ca6d-346e-428c-a116-87bcaa9f6c05 | rrqefsxymripcvoabers | DELETE | /auth/v1/admin/users/8473b86b-3319-47ba-8927-a70e939f1670 | 404         | 1744752073401000 |
| POST | 404 | 34.29.52.147 | 930e6810db37f85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | a652dab4-6467-48c5-9088-24c3cd13ae0c | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751183925000 |
| POST | 404 | 34.29.52.147 | 930e680fdfeff85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | eb574766-60e0-4acb-8120-af8902a14288 | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751183480000 |
| POST | 404 | 34.29.52.147 | 930e680edc29f85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | 64afccf9-862c-4a74-8636-cb71afd5321f | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751183315000 |
| GET | 200 | 34.29.52.147 | 930e680dc89ef85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/loyalty_rewards?select=count&limit=1 | node                      | 6f54909e-a32a-48f7-ad2b-31b5c292b444 | rrqefsxymripcvoabers | GET    | /rest/v1/loyalty_rewards                                  | 200         | 1744751183159000 |
| POST | 404 | 34.29.52.147 | 930e680cccd4f85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | 3f2ce0c3-0219-4b20-a4a3-e227cf673deb | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751182988000 |
| POST | 404 | 34.29.52.147 | 930e680bc931f85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | ac5236f2-8da6-48d9-8f09-9ad7b9e4f38a | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751182831000 |
| POST | 404 | 34.29.52.147 | 930e680abccff85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | cfc6f177-948b-4064-b08b-3c54a55a5ad3 | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751182665000 |
| POST | 404 | 34.29.52.147 | 930e6809a92ff85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | 3a53e944-3937-4608-b181-dc559c421b16 | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751182492000 |
| POST | 404 | 34.29.52.147 | 930e68089d63f85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | c4b8d1fc-7d34-4c9d-b148-ffb10b01bca3 | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751182315000 |
| POST | 404 | 34.29.52.147 | 930e680789edf85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | 6447a754-0665-45bd-9851-2af8b952d922 | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751182155000 |
| POST | 404 | 34.29.52.147 | 930e6804d939f85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | adf98560-648a-4a3e-874c-e766f2328f8b | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751181992000 |
| GET | 200 | 34.29.52.147 | 930e6803dda3f85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/appointment_services?select=count&limit=1 | node                 | 0276d0e9-d1a0-4a05-bd4b-ff57c8759f36 | rrqefsxymripcvoabers | GET    | /rest/v1/appointment_services                             | 200         | 1744751181560000 |
| POST | 404 | 34.29.52.147 | 930e6802c9b4f85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | 013f06cf-c8c1-4afa-be69-b54943b0388e | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751181388000 |
| POST | 404 | 34.29.52.147 | 930e6801ce66f85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | 4eb4e7a2-db8e-4874-93bd-1e5b5ebfc309 | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751181227000 |
| POST | 404 | 34.29.52.147 | 930e6800cac4f85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | 9e01f3f8-93b3-430d-a0d4-f0e00a25f0dc | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751181068000 |
| POST | 404 | 34.29.52.147 | 930e67ffcfa6f85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | bedfec78-36d3-463e-9c1a-99155a4fbe06 | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751180909000 |
| POST | 404 | 34.29.52.147 | 930e67febc4af85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | c1be28be-96d4-49b8-9767-812fcd4ce0eb | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751180735000 |
| POST | 404 | 34.29.52.147 | 930e67fda8ddf85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | 8d6d7cdc-071c-4db2-ad48-b96b5ba083ee | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751180570000 |
| POST | 404 | 34.29.52.147 | 930e67fcad5ff85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | 81581ad0-df43-466a-bb84-03d1e58aaebc | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751180407000 |
| POST | 404 | 34.29.52.147 | 930e67fb99d8f85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | 87a7305c-426d-4017-a965-4fd0aadcdb1b | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751180245000 |
| POST | 404 | 34.29.52.147 | 930e67fa9ddff85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | 7bcd007e-d509-4ab7-91b2-f94b74a58b5f | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751180080000 |
| GET | 200 | 34.29.52.147 | 930e67f99a7ff85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/appointments?select=count&limit=1 | node                         | 3b0faa62-91b0-4067-a381-1100bdeb7e4f | rrqefsxymripcvoabers | GET    | /rest/v1/appointments                                     | 200         | 1744751179917000 |
| POST | 404 | 34.29.52.147 | 930e67f89fa1f85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | a0eb1261-bcdd-4ec7-bfc1-90cf0493315c | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751179758000 |
| POST | 404 | 34.29.52.147 | 930e67f79c8df85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | a10908e2-ea04-48ed-b2dd-b655abd5f235 | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751179598000 |
| POST | 404 | 34.29.52.147 | 930e67f68936f85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | 4ab57353-75ab-4345-8f88-dbc15142eeb4 | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751179435000 |
| POST | 404 | 34.29.52.147 | 930e67f57d58f85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | 17ad3f04-3999-483b-ba97-dcc21f40b303 | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751179268000 |
| POST | 404 | 34.29.52.147 | 930e67f47a0bf85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | 9bbda80f-b001-46b3-abae-2bb4dc46a48f | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751179101000 |
| POST | 404 | 34.29.52.147 | 930e67f37ea5f85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | 3d68b30f-3d43-4233-9ce4-b5b69323216b | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751178934000 |
| POST | 404 | 34.29.52.147 | 930e67f27b43f85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | 3650e793-5757-421b-87e5-f4cf50e88e05 | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751178777000 |
| GET | 200 | 34.29.52.147 | 930e67f17f31f85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/schedules?select=count&limit=1 | node                            | 243ae2d6-94b7-4ede-b406-e169c80c9e20 | rrqefsxymripcvoabers | GET    | /rest/v1/schedules                                        | 200         | 1744751178620000 |
| POST | 404 | 34.29.52.147 | 930e67f07bc9f85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | 5aacb107-263d-4dd0-86ca-f068ed668e58 | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751178458000 |
| POST | 404 | 34.29.52.147 | 930e67ef6811f85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | c58fb82e-3433-41f3-858d-dae8789fc5e7 | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751178294000 |
| POST | 404 | 34.29.52.147 | 930e67ee5c41f85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | 5608bb35-1a5f-4be5-be9f-cd0fac76c2d7 | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751178131000 |
| POST | 404 | 34.29.52.147 | 930e67ed4908f85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | 5df990da-f0a2-4073-ab6e-e58faf840211 | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751177960000 |
| POST | 404 | 34.29.52.147 | 930e67ec4d84f85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | 6dcec066-21d9-4ce2-b6d7-a7570630acc2 | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751177789000 |
| GET | 200 | 34.29.52.147 | 930e67eb29c6f85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/professionals?select=count&limit=1 | node                        | eb14507d-4e2b-4921-a85c-fed65aaa08ea | rrqefsxymripcvoabers | GET    | /rest/v1/professionals                                    | 200         | 1744751177616000 |
| POST | 404 | 34.29.52.147 | 930e67e87884f85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | e49dac80-4147-4bf0-a920-3a8f99effbcb | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751177443000 |
| POST | 404 | 34.29.52.147 | 930e67e77d35f85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | 57ed0e1c-bb0c-4142-bca4-71ccf482d4e7 | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751177017000 |
| POST | 404 | 34.29.52.147 | 930e67e6797ef85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | 8d2bda30-8522-40dc-9e78-4aed1eb900d4 | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751176855000 |
| POST | 404 | 34.29.52.147 | 930e67e54dc5f85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | 15bc4c6c-9027-4b61-a4c3-be7a2155d983 | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751176679000 |
| POST | 404 | 34.29.52.147 | 930e67e44a1af85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | 2f8dc9e1-9bf5-427f-909a-c6003ae3a3ea | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751176503000 |
| GET | 200 | 34.29.52.147 | 930e67e1896ef85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/product_categories?select=count&limit=1 | node                   | b60e075b-8565-4416-8402-88d06240531f | rrqefsxymripcvoabers | GET    | /rest/v1/product_categories                               | 200         | 1744751176337000 |
| POST | 404 | 34.29.52.147 | 930e67e07e19f85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | a4980637-2644-4a94-b2d6-3168be9483ec | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751175903000 |
| POST | 404 | 34.29.52.147 | 930e67df6a9bf85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | 7f96f6a0-9420-4f08-96e6-3b8fd918f7db | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751175726000 |
| POST | 404 | 34.29.52.147 | 930e67de6f00f85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | 8941d4ae-98c5-42f3-8f6a-bb6d196cfadd | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751175563000 |
| POST | 404 | 34.29.52.147 | 930e67dd5b22f85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | b0f864a1-40b5-4b9c-9bbf-dbbc72e6c763 | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751175403000 |
| POST | 404 | 34.29.52.147 | 930e67dc5f2ff85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | 5fc3b81f-d5e3-42c1-97d6-674a40478df7 | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751175236000 |
| GET | 200 | 34.29.52.147 | 930e67db3ae7f85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/products?select=count&limit=1 | node                             | 02b377f7-abd3-4639-921e-65ee1301c32b | rrqefsxymripcvoabers | GET    | /rest/v1/products                                         | 200         | 1744751175073000 |
| POST | 404 | 34.29.52.147 | 930e67da3f34f85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | 14ba55ba-ac7a-46b7-930b-80565271508c | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751174899000 |
| POST | 404 | 34.29.52.147 | 930e67d93c06f85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | 37e813ac-dbe1-4188-92b2-abe4357ae743 | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751174737000 |
| POST | 404 | 34.29.52.147 | 930e67d83866f85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | 81fc1d88-5ed3-456b-a409-9c7bed52a6fc | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751174573000 |
| POST | 404 | 34.29.52.147 | 930e67d73cd2f85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | 0f80bc82-9a97-42ec-bf08-f5cd75fdf4c5 | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751174414000 |
| POST | 404 | 34.29.52.147 | 930e67d61867f85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | f353e38f-e4de-4e3c-af64-57cb6895cb0a | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751174246000 |
| GET | 200 | 34.29.52.147 | 930e67d51cfdf85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/service_categories?select=count&limit=1 | node                   | 7dcef7ba-2c42-4a35-871e-71936bccb5d0 | rrqefsxymripcvoabers | GET    | /rest/v1/service_categories                               | 200         | 1744751174079000 |
| POST | 404 | 34.29.52.147 | 930e67d3e980f85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | b7e657c4-e068-4e3c-a509-bba8c16dd302 | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751173913000 |
| POST | 404 | 34.29.52.147 | 930e67d2fe13f85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | 0e81d295-0a21-42cd-ba8f-ff9571f8570c | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751173733000 |
| POST | 404 | 34.29.52.147 | 930e67d1da7ef85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | aaa6731e-905f-4bf1-9c2c-c65e8eab1d05 | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751173568000 |
| POST | 404 | 34.29.52.147 | 930e67cf39bcf85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | b6edc033-a58a-4031-ace8-b3ee4f4b7402 | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751173397000 |
| POST | 404 | 34.29.52.147 | 930e67ce2e79f85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | fd46030e-6349-4c44-bab4-6eb23a0b2a1d | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751172973000 |
| GET | 200 | 34.29.52.147 | 930e67cb8cf0f85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/services?select=count&limit=1 | node                             | 0ab192e9-66d5-40e4-883e-1977e5050a24 | rrqefsxymripcvoabers | GET    | /rest/v1/services                                         | 200         | 1744751172812000 |
| POST | 404 | 34.29.52.147 | 930e67c8cbe0f85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | 6d0c65ec-cdb2-4a6b-9405-4b963c894dbd | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751172383000 |
| POST | 404 | 34.29.52.147 | 930e67c7bff0f85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | fb8aa467-70a5-4f25-9b03-9d3426f1f184 | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751171934000 |
| POST | 404 | 34.29.52.147 | 930e67c6ac24f85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | b0b982ac-5652-4126-ba8d-562afca5875d | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751171774000 |
| POST | 404 | 34.29.52.147 | 930e67c5985ef85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | cfa93162-e91e-4f24-88b4-ff1043b9785e | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751171604000 |
