| error_severity | event_message                                                                                                                                                                                                           | id                                   | identifier           | timestamp        |
| LOG            | connection authorized: user=postgres database=postgres application_name=postgres-meta 0.0.0-automated SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)                                           | 621ceec4-763c-4ecd-b6ec-c1c2a7529051 | rrqefsxymripcvoabers | 1744752273481000 |
| LOG            | connection authenticated: identity="postgres" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)                                                                                                                     | 7d3bfa6d-85c8-41a5-99ec-d93fc2ac79f0 | rrqefsxymripcvoabers | 1744752272168000 |
| LOG            | connection authorized: user=postgres database=postgres application_name=postgres-meta 0.0.0-automated SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)                                           | fdde99fb-04a9-4d0f-855e-805ae6070aef | rrqefsxymripcvoabers | 1744752272168000 |
| LOG            | connection authenticated: identity="supabase_admin" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)                                                                                                               | 8df1de70-0b4f-46f7-a08a-1fa94fbee46c | rrqefsxymripcvoabers | 1744752271990000 |
| LOG            | connection authorized: user=supabase_admin database=postgres application_name=postgres-meta 0.0.0-automated SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)                                     | 33d22bdf-fa5b-4e15-b8bf-4d59cc2a9474 | rrqefsxymripcvoabers | 1744752271990000 |
| LOG            | connection authenticated: identity="supabase_admin" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)                                                                                                               | ce818ec7-8d1a-4cfd-ae94-7e28b206b5b3 | rrqefsxymripcvoabers | 1744752271989000 |
| LOG            | connection authorized: user=supabase_admin database=postgres application_name=postgres-meta 0.0.0-automated SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)                                     | d113318b-db79-4977-b6e8-c7acbb6c1644 | rrqefsxymripcvoabers | 1744752271989000 |
| LOG            | connection authorized: user=supabase_admin database=postgres application_name=postgres-meta 0.0.0-automated SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)                                     | 0220648a-3184-4e19-a511-520206adf10c | rrqefsxymripcvoabers | 1744752271938000 |
| LOG            | connection authenticated: identity="supabase_admin" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)                                                                                                               | 8fdeb60a-15d1-40ea-bad9-b022854d2e50 | rrqefsxymripcvoabers | 1744752271938000 |
| LOG            | connection authenticated: identity="postgres" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)                                                                                                                     | 6b991c12-ea32-43f6-88cc-9b412a793991 | rrqefsxymripcvoabers | 1744752271847000 |
| LOG            | connection authorized: user=postgres database=postgres application_name=postgres-meta 0.0.0-automated SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)                                           | 54f959a6-ea00-46e2-b394-46ea0e2afa07 | rrqefsxymripcvoabers | 1744752271847000 |
| LOG            | connection authenticated: identity="postgres" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)                                                                                                                     | a53907f2-dc31-4fa6-8a42-2dc21893a20f | rrqefsxymripcvoabers | 1744752271843000 |
| LOG            | connection authorized: user=postgres database=postgres application_name=postgres-meta 0.0.0-automated SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)                                           | 7a2ca3e9-b91b-42d6-b165-953fc5e212a2 | rrqefsxymripcvoabers | 1744752271843000 |
| LOG            | connection received: host=2600:1f18:2a66:6e01:b441:d5cf:f503:18a6 port=55112                                                                                                                                            | 3dfb9198-9f46-4b3c-bee0-01c24a0c9e79 | rrqefsxymripcvoabers | 1744752271593000 |
| LOG            | connection received: host=2600:1f18:2a66:6e00:6651:31c5:6bd3:927e port=54678                                                                                                                                            | 0fbf26da-d058-4859-930a-83075ba33338 | rrqefsxymripcvoabers | 1744752271415000 |
| LOG            | connection received: host=2600:1f18:2a66:6e00:cbfa:ffb2:23b0:3b88 port=49876                                                                                                                                            | 2d1187ae-54d0-4939-a3b7-738681cea6c2 | rrqefsxymripcvoabers | 1744752271415000 |
| LOG            | connection received: host=2600:1f18:2a66:6e01:265e:f39b:4ad3:f151 port=53210                                                                                                                                            | 32115485-3359-46b3-a51e-a7120b250ba7 | rrqefsxymripcvoabers | 1744752271343000 |
| LOG            | connection received: host=2600:1f18:2a66:6e01:b441:d5cf:f503:18a6 port=55104                                                                                                                                            | f20a008c-a0dd-4600-b83a-c7347786264f | rrqefsxymripcvoabers | 1744752271272000 |
| LOG            | connection received: host=2600:1f18:2a66:6e01:b441:d5cf:f503:18a6 port=55094                                                                                                                                            | 94174e44-1bd8-4f14-89aa-3ce4d0110e5a | rrqefsxymripcvoabers | 1744752271270000 |
| LOG            | connection authorized: user=supabase_admin database=postgres application_name=postgres_exporter                                                                                                                         | d6a9e0e5-5421-4459-a666-afb669b9bfd5 | rrqefsxymripcvoabers | 1744752219895000 |
| LOG            | connection received: host=::1 port=29249                                                                                                                                                                                | b908e487-80dd-4274-8e25-b48ef736c641 | rrqefsxymripcvoabers | 1744752219895000 |
